User Input,Chatbot Response,Timestamp
hello,Hi there,2025-03-14 19:40:05
hello,Hello,2025-03-14 19:40:05
hello,Hey,2025-03-14 19:40:06
hello,Hello,2025-03-14 19:40:07
hello,Hi there,2025-03-14 19:40:08
hello,Nothing much,2025-03-14 19:40:09
hello,Hello,2025-03-14 19:40:09
hello,Nothing much,2025-03-14 19:40:10
hello,Hi there,2025-03-14 19:40:11
hello,Hey,2025-03-14 19:40:12
hello,Hello,2025-03-14 19:40:12
hello,"I'm fine, thank you",2025-03-14 19:40:13
hello,Hi there,2025-03-14 19:40:14
hello,"I'm fine, thank you",2025-03-14 19:40:15
hello,Hello,2025-03-14 19:40:15
hello,Hey,2025-03-14 19:40:16
hello,Hello,2025-03-14 19:40:17
hello,Nothing much,2025-03-14 19:40:18
hello,Hey,2025-03-14 19:40:19
hello,Nothing much,2025-03-14 19:40:19
hello,Hello,2025-03-14 19:40:20
hello,Nothing much,2025-03-14 19:40:21
hello,"I'm fine, thank you",2025-03-14 19:40:22
hello,Hello,2025-03-14 19:40:23
hello,Hi there,2025-03-14 19:40:23
hello,Hi there,2025-03-14 19:40:24
hello,"I'm fine, thank you",2025-03-14 19:40:25
hello,Nothing much,2025-03-14 19:40:26
hello,"I'm fine, thank you",2025-03-14 19:40:27
hello,Hey,2025-03-14 19:40:27
hello,"I'm fine, thank you",2025-03-14 19:40:28
hello,Nothing much,2025-03-14 19:40:29
hello,Hi there,2025-03-14 19:40:30
hello,Hey,2025-03-14 19:40:31
hello,"I'm fine, thank you",2025-03-14 19:40:31
hello,Hey,2025-03-14 19:40:32
hello,Hey,2025-03-14 19:40:33
hello,Hey,2025-03-14 19:40:34
hello,Hi there,2025-03-14 19:40:35
hello,"I'm fine, thank you",2025-03-14 19:40:36
hello,Hey,2025-03-14 19:40:36
hello,Nothing much,2025-03-14 19:40:37
hello,"I'm fine, thank you",2025-03-14 19:40:38
hello,Nothing much,2025-03-14 19:40:39
hello,Hi there,2025-03-14 19:40:40
hello,Nothing much,2025-03-14 19:40:41
hello,"I'm fine, thank you",2025-03-14 19:40:41
hello,Hi there,2025-03-14 19:40:42
hello,Hi there,2025-03-14 19:40:43
hello,Hi there,2025-03-14 19:40:44
hello,Nothing much,2025-03-14 19:40:45
hello,Hey,2025-03-14 19:40:46
hello,Hello,2025-03-14 19:40:46
hello,Hey,2025-03-14 19:40:47
hello,Nothing much,2025-03-14 19:40:48
hello,Nothing much,2025-03-14 19:40:49
hello,"I'm fine, thank you",2025-03-14 19:41:40
hello,"I'm fine, thank you",2025-03-14 19:41:41
hello,Hello,2025-03-14 19:41:42
hello,Hey,2025-03-14 19:41:43
hello,Hello,2025-03-14 19:41:43
hello,"I'm fine, thank you",2025-03-14 19:41:44
hello,Nothing much,2025-03-14 19:41:45
hello,Hi there,2025-03-14 19:41:46
hello,Nothing much,2025-03-14 19:41:47
hello,Nothing much,2025-03-14 19:41:47
hello,Nothing much,2025-03-14 19:41:48
hello,Hello,2025-03-14 19:41:49
hello,Hello,2025-03-14 19:41:50
hello,Hey,2025-03-14 19:41:51
hello,Hey,2025-03-14 19:41:52
hello,"I'm fine, thank you",2025-03-14 19:41:53
hello,Nothing much,2025-03-14 19:41:53
hello,Hello,2025-03-14 19:41:54
hello,Nothing much,2025-03-14 19:41:55
hello,Hey,2025-03-14 19:41:56
hello,Nothing much,2025-03-14 19:41:57
hello,Hello,2025-03-14 19:41:58
hello,Hey,2025-03-14 19:41:59
hello,Hello,2025-03-14 19:41:59
hello,"I'm fine, thank you",2025-03-14 19:42:00
hello,Hey,2025-03-14 19:42:01
hello,Hello,2025-03-14 19:42:02
